case_id,size
CP_00_07271619_00090,61
CP_00_07271826_00087,66
CP_00_07272229_00091,52
CP_00_07272327_00093,49
CP_00_07272328_00090,48
CP_00_07280515_00092,86
CP_00_07281327_00087,71
CP_00_07281539_00090,69
CP_00_07281638_00088,52
CP_00_07291542_00087,51
CP_00_07301140_00088,81
CP_00_07301435_00117,78
CP_00_07301529_00092,50
CP_00_07301531_00088,53
CP_00_07301651_00092,53
CP_00_07301652_00093,50
CP_00_07302232_00087,51
CP_00_07310244_00088,117
CP_00_07311519_00091,52
CP_00_07311617_00075,51
CP_00_07311659_00092,49
CP_00_08011404_00091,130
CP_00_08011655_00091,51
CP_00_08021428_00023,53
CP_00_08021444_00117,49
CP_00_08021540_00090,48
CP_00_08021604_00093,117
CP_00_08021617_00087,52
CP_00_08021755_00092,67
CP_00_08030902_00087,81
CP_00_08031234_00093,49
CP_00_08031309_00088,88
CP_00_08031419_00091,76
CP_00_08031452_00092,50
CP_00_08031921_00092,49
CP_00_08032206_00090,47
CP_00_08040643_00087,101
CP_00_08040657_00087,51
CP_00_08041115_00023,64
CP_00_08041227_00150,50
CP_00_08041350_00088,96
CP_00_08041512_00092,63
CP_00_08041536_00088,52
CP_00_08051609_00093,49
CP_00_08051701_00092,49
CP_00_08051848_00094,49
CP_00_08061021_00092,48
CP_00_08061347_00092,57
CP_00_08061431_00087,52
CP_00_08061614_00091,56
CP_00_08061648_00092,48
CP_00_08061720_00090,50
CP_00_08071139_00092,49
CP_00_08071234_00087,52
CP_00_08071313_00090,50
CP_00_08071319_00092,49
CP_00_08071415_00117,66
CP_00_08071424_00088,76
CP_00_08071445_00088,52
CP_00_08071513_00091,74
CP_00_08071811_00088,62
CP_00_08071858_00088,153
CP_00_08072024_00091,135
CP_00_08080143_00088,53
CP_00_08080711_00023,61
CP_00_08081013_00150,87
CP_00_08081031_00091,138
CP_00_08081428_00090,49
CP_00_08081506_00023,77
CP_00_08081622_00093,61
CP_00_08081829_00097,52
CP_00_08082017_00087,116
CP_00_08082221_00090,47
CP_00_08090108_00087,52
CP_00_08090128_00023,64
CP_00_08090302_00090,50
CP_00_08090327_00093,71
CP_00_08090512_00092,113
CP_00_08090815_00090,62
CP_00_08090852_00090,47
CP_00_08091216_00075,51
CP_00_08091744_00088,53
CP_00_08091855_00093,49
CP_00_08092244_00090,116
CP_00_08101330_00090,47
CP_00_08101425_00117,65
CP_00_08111634_00093,49
CP_00_08120657_00090,110
CP_00_08120934_00087,85
CP_00_08121627_00074,51
CP_00_08122359_00097,59
CP_00_08130206_00092,133
CP_00_08130352_00090,77
CP_00_08130700_00090,78
CP_00_08131729_00088,93
CP_00_08131754_00092,54
CP_00_08131830_00150,49
CP_00_08140819_00090,113
CP_00_08141141_00150,115
CP_00_08141249_00093,49
CP_00_08141307_00092,48
CP_00_08151458_00088,63
CP_00_08151505_00092,62
CP_00_08160454_00090,49
CP_00_08160510_00093,79
CP_00_08160537_00087,83
CP_00_08160841_00090,60
CP_00_08160841_00092,73
CP_00_08161309_00150,91
CP_00_08161407_00088,52
CP_00_08170832_00092,49
CP_00_08170834_00093,49
CP_00_08171118_00088,53
CP_00_08171417_00087,63
CP_00_08171446_00092,63
CP_00_08171713_00088,52
CP_00_08172027_00087,51
CP_00_08172356_00091,90
CP_00_08180210_00088,86
CP_00_08181120_00091,51
CP_00_08181216_00088,52
