case_id,min,max,length,unnormal_indices
CP_00_06290756_00093,-28665.0,590.0,51,
CP_00_06290841_00092,-28610.0,615.0,70,
CP_00_06291017_00150,-300.0,540.0,50,
CP_00_06291602_00087,-210.0,630.0,52,
CP_00_06291610_00094,-28665.0,640.0,49,
CP_00_06291743_00092,-28665.0,580.0,52,
CP_00_06300207_00150,-300.0,560.0,111,
CP_00_06300228_00090,-300.0,670.0,48,
CP_00_06300338_00092,-28665.0,590.0,70,
CP_00_06300426_00092,-300.0,630.0,48,
CP_00_06300907_00090,-280.0,670.0,87,
CP_00_06301210_00093,-270.0,560.0,49,
CP_00_06301456_00150,-300.0,560.0,51,
CP_00_06301607_00090,-300.0,680.0,48,
CP_00_06301831_00090,-300.0,690.0,320,
CP_00_06302034_00091,-170.0,620.0,57,
CP_00_06302115_00092,-300.0,660.0,76,
CP_00_06302213_00093,-290.0,560.0,49,
CP_00_07010329_00087,-70.0,680.0,158,
CP_00_07010745_00090,-250.0,670.0,76,
CP_00_07010910_00092,-300.0,640.0,75,
CP_00_07010915_00093,-120.0,550.0,59,
CP_00_07011126_00093,-190.0,570.0,49,
CP_00_07011223_00091,-280.0,570.0,50,
CP_00_07011423_00150,-270.0,510.0,75,
CP_00_07011504_00092,-280.0,540.0,49,
CP_00_07011907_00093,-300.0,600.0,149,
CP_00_07012342_00093,-300.0,570.0,49,
CP_00_07020037_00090,-300.0,670.0,115,
CP_00_07020111_00093,-300.0,550.0,90,
CP_00_07020119_00092,-300.0,610.0,60,
CP_00_07021008_00093,-300.0,670.0,242,
CP_00_07021017_00090,-230.0,660.0,183,
CP_00_07021242_00092,-28660.0,610.0,99,
CP_00_07021423_00094,-28665.0,695.0,79,
CP_00_07021450_00092,-290.0,710.0,49,
CP_00_07021537_00038,-28665.0,645.0,49,
CP_00_07021704_00150,-300.0,590.0,375,
CP_00_07022019_00092,-300.0,580.0,97,
CP_00_07022034_00088,-28665.0,655.0,92,
CP_00_07030652_00092,-300.0,580.0,112,
CP_00_07030716_00090,-28665.0,600.0,47,
CP_00_07030927_00092,-28665.0,605.0,67,
CP_00_07031728_00090,-300.0,580.0,58,
CP_00_07032017_00093,-290.0,580.0,136,
CP_00_07032354_00092,-290.0,550.0,49,
CP_00_07041112_00092,-28660.0,605.0,64,
CP_00_07041256_00092,-300.0,580.0,48,
CP_00_07041347_00087,-180.0,780.0,63,
CP_00_07041353_00093,-300.0,600.0,97,
CP_00_07041942_00090,-300.0,650.0,81,
CP_00_07042109_00091,-190.0,570.0,51,
CP_00_07042233_00092,-300.0,610.0,71,
CP_00_07042251_00087,-180.0,620.0,51,
CP_00_07050030_00088,-260.0,660.0,186,
CP_00_07050333_00090,-28665.0,670.0,108,
CP_00_07050520_00091,-150.0,560.0,63,
CP_00_07050547_00150,-300.0,550.0,50,
CP_00_07050704_00092,-28665.0,565.0,119,
CP_00_07050746_00093,-290.0,560.0,49,
CP_00_07050912_00090,-300.0,670.0,64,
CP_00_07051053_00093,-300.0,590.0,50,
CP_00_07051144_00092,-300.0,600.0,74,
CP_00_07051500_00087,-210.0,650.0,114,
CP_00_07051624_00090,-300.0,650.0,105,
CP_00_07051954_00093,-300.0,580.0,74,
CP_00_07052012_00088,-300.0,630.0,52,
CP_00_07052049_00090,-28665.0,650.0,101,
CP_00_07052056_00092,-300.0,650.0,123,
CP_00_07052224_00092,-28665.0,702.0,164,
CP_00_07060156_00093,-28665.0,590.0,215,
CP_00_07060741_00090,-290.0,650.0,60,
CP_00_07060745_00090,-28665.0,635.0,123,
CP_00_07060834_00093,-300.0,610.0,95,
CP_00_07061135_00087,-300.0,700.0,51,
CP_00_07061259_00097,-300.0,650.0,133,
CP_00_07061404_00088,-28665.0,735.0,83,
CP_00_07061421_00094,-28665.0,700.0,112,
CP_00_07061928_00093,-28665.0,665.0,54,
CP_00_07061940_00090,-28665.0,630.0,54,
CP_00_07062230_00091,-280.0,550.0,51,
CP_00_07070124_00088,-170.0,640.0,53,
CP_00_07070336_00091,-160.0,580.0,128,
CP_00_07070617_00088,-300.0,630.0,53,
CP_00_07070706_00090,-28665.0,640.0,56,
CP_00_07071105_00087,-200.0,730.0,52,
CP_00_07071332_00093,-300.0,580.0,62,
